param dimW := 10;
param dimH := 10;

param W :=
1 0.0
2 1.2
3 2.4
4 3.6
5 4.8
6 6.0
7 7.2
8 8.4
9 9.6
10 10.8;

param H :=
1 0.0
2 1.2
3 2.4
4 3.6
5 4.8
6 6.0
7 7.2
8 8.4
9 9.6
10 10.8;

param n := 20;

param scale := 1000;

set S := "S2C" "S2CPro" "S3";

param I :=
"S2C" 0.305891
"S2CPro" 0.755891
"S3" 0.76198;

param MC := 
"S2C" 28.45
"S2CPro" 34.31
"S3" 40.32;

param RMAX :=
"S2C" 1200
"S2CPro" 3200
"S3" 3200;

param X :=
1 1
2 3
3 3
4 3
5 4
6 4
7 4
8 4
9 5
10 6
11 6
12 7
13 7
14 7
15 7
16 7
17 8
18 9
19 9
20 9;

param Y :=
1 7
2 1
3 2
4 4
5 1
6 3
7 5
8 10
9 8
10 1
11 7
12 1
13 2
14 5
15 6
16 7
17 5
18 4
19 5
20 7;
