param dimW := 10;
param dimH := 10;

param W :=
1 0.0
2 1.0
3 2.0
4 3.0
5 4.0
6 5.0
7 6.0
8 7.0
9 8.0
10 9.0;

param H :=
1 0.0
2 1.0
3 2.0
4 3.0
5 4.0
6 5.0
7 6.0
8 7.0
9 8.0
10 9.0;

param n := 70;

param scale := 0.8;

set S := "S2C" "S2CPro" "S3";

param I :=
"S2C" 0.305891
"S2CPro" 0.755891
"S3" 0.76198;

param MC := 
"S2C" 28.45
"S2CPro" 34.31
"S3" 40.32;

param RMAX :=
"S2C" 1.2
"S2CPro" 3.2
"S3" 3.2;

param X :=
1 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1
9 1
10 2
11 2
12 2
13 2
14 3
15 3
16 3
17 3
18 3
19 3
20 4
21 4
22 4
23 4
24 4
25 4
26 4
27 5
28 5
29 5
30 5
31 5
32 5
33 5
34 5
35 6
36 6
37 6
38 6
39 6
40 6
41 7
42 7
43 7
44 7
45 7
46 7
47 7
48 7
49 8
50 8
51 8
52 8
53 8
54 8
55 8
56 8
57 9
58 9
59 9
60 9
61 9
62 9
63 9
64 10
65 10
66 10
67 10
68 10
69 10
70 10;

param Y :=
1 1
2 2
3 3
4 4
5 5
6 6
7 8
8 9
9 10
10 2
11 6
12 9
13 10
14 2
15 4
16 5
17 6
18 7
19 8
20 1
21 3
22 6
23 7
24 8
25 9
26 10
27 3
28 4
29 5
30 6
31 7
32 8
33 9
34 10
35 1
36 2
37 3
38 5
39 6
40 10
41 3
42 4
43 5
44 6
45 7
46 8
47 9
48 10
49 1
50 2
51 3
52 4
53 6
54 7
55 8
56 9
57 2
58 3
59 4
60 5
61 6
62 8
63 9
64 2
65 3
66 4
67 6
68 7
69 8
70 9;
