param dimW := 10;
param dimH := 10;

param W :=
1 0.0
2 1.0
3 2.0
4 3.0
5 4.0
6 5.0
7 6.0
8 7.0
9 8.0
10 9.0;

param H :=
1 0.0
2 1.0
3 2.0
4 3.0
5 4.0
6 5.0
7 6.0
8 7.0
9 8.0
10 9.0;

param n := 60;

param scale := 0.8;

set S := "S2C" "S2CPro";

param I :=
"S2C" 0.305891
"S2CPro" 0.755891;

param MC := 
"S2C" 28.45
"S2CPro" 34.31;

param RMAX :=
"S2C" 1.2
"S2CPro" 3.2;

param X :=
1 1
2 2
3 2
4 2
5 3
6 3
7 3
8 4
9 4
10 4
11 4
12 4
13 4
14 4
15 4
16 5
17 5
18 5
19 5
20 6
21 6
22 6
23 6
24 6
25 6
26 6
27 6
28 6
29 7
30 7
31 7
32 7
33 7
34 7
35 7
36 7
37 8
38 8
39 8
40 8
41 8
42 8
43 8
44 9
45 9
46 9
47 9
48 9
49 9
50 9
51 9
52 9
53 10
54 10
55 10
56 10
57 10
58 10
59 10
60 10;

param Y :=
1 5
2 6
3 9
4 10
5 1
6 5
7 9
8 1
9 2
10 3
11 4
12 5
13 7
14 9
15 10
16 1
17 2
18 5
19 9
20 1
21 2
22 3
23 4
24 5
25 6
26 8
27 9
28 10
29 1
30 2
31 4
32 5
33 6
34 8
35 9
36 10
37 1
38 2
39 3
40 4
41 6
42 9
43 10
44 1
45 2
46 3
47 4
48 5
49 6
50 8
51 9
52 10
53 1
54 2
55 4
56 5
57 6
58 8
59 9
60 10;
