param n := 50;

param scale := 200;

set S := "S2C" "S2CPro" "S3";

param I :=
"S2C" 0.305891
"S2CPro" 0.755891
"S3" 0.76198;

param MC := 
"S2C" 28.45
"S2CPro" 34.31
"S3" 40.32;

param RMAX :=
"S2C" 1200
"S2CPro" 3200
"S3" 3200;

param X :=
1 97
2 99
3 8
4 78
5 79
6 92
7 100
8 81
9 21
10 20
11 56
12 85
13 67
14 22
15 4
16 47
17 28
18 69
19 70
20 45
21 77
22 44
23 71
24 64
25 39
26 34
27 12
28 90
29 62
30 19
31 27
32 25
33 16
34 89
35 10
36 76
37 87
38 65
39 38
40 42
41 55
42 96
43 61
44 24
45 58
46 95
47 7
48 11
49 15
50 75;

param Y := 
1 32
2 58
3 69
4 36
5 63
6 95
7 22
8 60
9 2
10 88
11 25
12 78
13 10
14 16
15 15
16 29
17 31
18 11
19 26
20 43
21 53
22 59
23 50
24 21
25 13
26 67
27 3
28 49
29 9
30 34
31 75
32 90
33 23
34 76
35 44
36 62
37 80
38 33
39 6
40 85
41 83
42 61
43 4
44 100
45 28
46 81
47 77
48 84
49 97
50 20;
