param dimW := 20;
param dimH := 20;

param W :=
1 0.0
2 1.0
3 2.0
4 3.0
5 4.0
6 5.0
7 6.0
8 7.0
9 8.0
10 9.0
11 10.0
12 11.0
13 12.0
14 13.0
15 14.0
16 15.0
17 16.0
18 17.0
19 18.0
20 19.0;

param H :=
1 0.0
2 1.0
3 2.0
4 3.0
5 4.0
6 5.0
7 6.0
8 7.0
9 8.0
10 9.0
11 10.0
12 11.0
13 12.0
14 13.0
15 14.0
16 15.0
17 16.0
18 17.0
19 18.0
20 19.0;

param n := 40;

param scale := 800;

set S := "S2C" "S2CPro" "S3";

param I :=
"S2C" 0.305891
"S2CPro" 0.755891
"S3" 0.76198;

param MC := 
"S2C" 28.45
"S2CPro" 34.31
"S3" 40.32;

param RMAX :=
"S2C" 1.2
"S2CPro" 3.2
"S3" 3.2;

param X :=
1 1
2 2
3 2
4 2
5 2
6 3
7 3
8 3
9 3
10 3
11 3
12 3
13 4
14 4
15 4
16 4
17 4
18 5
19 5
20 5
21 5
22 6
23 6
24 7
25 8
26 8
27 8
28 9
29 9
30 10
31 11
32 11
33 11
34 12
35 12
36 12
37 13
38 13
39 15
40 17;

param Y :=
1 8
2 1
3 2
4 5
5 20
6 1
7 2
8 4
9 5
10 6
11 10
12 18
13 2
14 5
15 6
16 9
17 18
18 2
19 4
20 6
21 20
22 3
23 7
24 2
25 1
26 5
27 9
28 2
29 3
30 2
31 2
32 5
33 6
34 2
35 6
36 9
37 5
38 8
39 10
40 8;
