param dimW := 14;
param dimH := 14;

param W :=
1 0.0
2 1.2
3 2.4
4 3.6
5 4.8
6 6.0
7 7.2
8 8.4
9 9.6
10 10.8
11 12.0
12 13.2
13 14.4
14 15.6;

param H :=
1 0.0
2 1.2
3 2.4
4 3.6
5 4.8
6 6.0
7 7.2
8 8.4
9 9.6
10 10.8
11 12.0
12 13.2
13 14.4
14 15.6;

param n := 67;

param scale := 800;

set S := "S2C" "S2CPro" "S3";

param I :=
"S2C" 0.305891
"S2CPro" 0.755891
"S3" 0.76198;

param MC := 
"S2C" 28.45
"S2CPro" 34.31
"S3" 40.32;

param RMAX :=
"S2C" 1200
"S2CPro" 3200
"S3" 3200;

param X :=
1 1
2 1
3 1
4 1
5 1
6 2
7 2
8 2
9 2
10 2
11 2
12 3
13 3
14 3
15 3
16 3
17 3
18 3
19 3
20 4
21 4
22 4
23 4
24 4
25 5
26 5
27 5
28 5
29 5
30 5
31 6
32 6
33 6
34 6
35 7
36 7
37 7
38 7
39 7
40 8
41 8
42 8
43 8
44 8
45 9
46 9
47 9
48 10
49 10
50 10
51 11
52 11
53 11
54 11
55 11
56 12
57 12
58 12
59 13
60 13
61 13
62 14
63 14
64 14
65 15
66 15
67 15;

param Y :=
1 1
2 3
3 5
4 6
5 9
6 1
7 3
8 4
9 5
10 6
11 9
12 2
13 3
14 4
15 5
16 6
17 7
18 8
19 11
20 2
21 4
22 6
23 7
24 8
25 1
26 3
27 4
28 6
29 7
30 8
31 6
32 7
33 8
34 9
35 3
36 4
37 7
38 9
39 11
40 1
41 2
42 4
43 5
44 11
45 5
46 7
47 12
48 6
49 7
50 11
51 1
52 4
53 5
54 8
55 9
56 1
57 2
58 5
59 1
60 3
61 6
62 3
63 4
64 5
65 1
66 3
67 5;
