param dimW := 14;
param dimH := 14;

param W :=
1 0.0
2 1.2
3 2.4
4 3.6
5 4.8
6 6.0
7 7.2
8 8.4
9 9.6
10 10.8
11 12.0
12 13.2
13 14.4
14 15.6;

param H :=
1 0.0
2 1.2
3 2.4
4 3.6
5 4.8
6 6.0
7 7.2
8 8.4
9 9.6
10 10.8
11 12.0
12 13.2
13 14.4
14 15.6;

param n := 22;

param scale := 1000;

set S := "S2C" "S2CPro" "S3";

param I :=
"S2C" 0.305891
"S2CPro" 0.755891
"S3" 0.76198;

param MC := 
"S2C" 28.45
"S2CPro" 34.31
"S3" 40.32;

param RMAX :=
"S2C" 1200
"S2CPro" 3200
"S3" 3200;

param X :=
1 6
2 6
3 6
4 7
5 7
6 8
7 8
8 8
9 9
10 9
11 9
12 9
13 9
14 9
15 9
16 10
17 10
18 11
19 11
20 12
21 12
22 15;

param Y :=
1 10
2 14
3 15
4 7
5 13
6 6
7 14
8 15
9 3
10 4
11 8
12 10
13 11
14 13
15 15
16 8
17 9
18 9
19 11
20 9
21 15
22 12;
