param dimW := 14;
param dimH := 14;

param W :=
1 0.0
2 1.2
3 2.4
4 3.6
5 4.8
6 6.0
7 7.2
8 8.4
9 9.6
10 10.8
11 12.0
12 13.2
13 14.4
14 15.6;

param H :=
1 0.0
2 1.2
3 2.4
4 3.6
5 4.8
6 6.0
7 7.2
8 8.4
9 9.6
10 10.8
11 12.0
12 13.2
13 14.4
14 15.6;

param n := 45;

param scale := 1000;

set S := "S2C" "S2CPro" "S3";

param I :=
"S2C" 0.305891
"S2CPro" 0.755891
"S3" 0.76198;

param MC := 
"S2C" 28.45
"S2CPro" 34.31
"S3" 40.32;

param RMAX :=
"S2C" 1200
"S2CPro" 3200
"S3" 3200;

param X :=
1 1
2 2
3 2
4 3
5 4
6 4
7 5
8 5
9 5
10 5
11 5
12 5
13 6
14 6
15 6
16 6
17 6
18 6
19 7
20 8
21 8
22 8
23 8
24 8
25 8
26 8
27 9
28 9
29 9
30 10
31 10
32 10
33 10
34 11
35 11
36 11
37 11
38 12
39 12
40 12
41 12
42 13
43 13
44 14
45 15;

param Y :=
1 2
2 3
3 13
4 1
5 1
6 2
7 1
8 2
9 3
10 6
11 11
12 15
13 2
14 3
15 5
16 7
17 12
18 14
19 5
20 1
21 2
22 4
23 5
24 7
25 9
26 10
27 2
28 7
29 15
30 2
31 3
32 6
33 14
34 1
35 4
36 6
37 13
38 1
39 4
40 5
41 8
42 1
43 11
44 1
45 1;
