param dimW := 15;
param dimH := 15;

param W :=
1 0.0
2 1.0
3 2.0
4 3.0
5 4.0
6 5.0
7 6.0
8 7.0
9 8.0
10 9.0
11 10.0
12 11.0
13 12.0
14 13.0
15 14.0;

param H :=
1 0.0
2 1.0
3 2.0
4 3.0
5 4.0
6 5.0
7 6.0
8 7.0
9 8.0
10 9.0
11 10.0
12 11.0
13 12.0
14 13.0
15 14.0;

param n := 22;

param scale := 800;

set S := "S2C" "S2CPro" "S3";

param I :=
"S2C" 0.305891
"S2CPro" 0.755891
"S3" 0.76198;

param MC := 
"S2C" 28.45
"S2CPro" 34.31
"S3" 40.32;

param RMAX :=
"S2C" 1.2
"S2CPro" 3.2
"S3" 3.2;

param X :=
1 6
2 6
3 6
4 7
5 7
6 8
7 8
8 8
9 9
10 9
11 9
12 9
13 9
14 9
15 9
16 10
17 10
18 11
19 11
20 12
21 12
22 15;

param Y :=
1 10
2 14
3 15
4 7
5 13
6 6
7 14
8 15
9 3
10 4
11 8
12 10
13 11
14 13
15 15
16 8
17 9
18 9
19 11
20 9
21 15
22 12;
